epoch,train_loss,train_mse,train_dice,mean_confidence,learning_rate
1,0.051169,0.051169,0.758547,0.000100
2,0.032242,0.032242,0.861822,0.000100
3,0.027196,0.027196,0.890780,0.000100
4,0.024569,0.024569,0.906072,0.000100
5,0.022527,0.022527,0.917828,0.000100
6,0.021163,0.021163,0.925803,0.000100
7,0.019839,0.019839,0.933621,0.000100
8,0.018838,0.018838,0.939395,0.000100
9,0.017989,0.017989,0.944451,0.000100
10,0.017197,0.017197,0.949019,0.000100
11,0.016520,0.016520,0.952922,0.000100
12,0.015902,0.015902,0.956507,0.000100
13,0.015313,0.015313,0.959904,0.000100
14,0.014878,0.014878,0.962363,0.000100
15,0.014692,0.014692,0.963627,0.000100
16,0.014236,0.014236,0.966021,0.000100
17,0.013794,0.013794,0.968523,0.000100
18,0.013549,0.013549,0.969884,0.000100
19,0.013144,0.013144,0.971962,0.000100
20,0.013064,0.013064,0.972481,0.000100
21,0.012713,0.012713,0.974312,0.000100
22,0.012500,0.012500,0.975415,0.000100
23,0.012310,0.012310,0.976380,0.000100
24,0.012200,0.012200,0.976967,0.000100
25,0.012003,0.012003,0.977976,0.000100
1,0.014930,0.014930,0.030885,0.000100
2,nan,nan,nan,0.000100
3,nan,nan,nan,0.000100
4,nan,nan,nan,0.000100
5,nan,nan,nan,0.000100
6,nan,nan,nan,0.000100
7,nan,nan,nan,0.000100
8,nan,nan,nan,0.000100
9,nan,nan,nan,0.000100
10,nan,nan,nan,0.000100
11,nan,nan,nan,0.000100
12,nan,nan,nan,0.000100
13,nan,nan,nan,0.000100
14,nan,nan,nan,0.000100
15,nan,nan,nan,0.000100
16,nan,nan,nan,0.000100
17,nan,nan,nan,0.000100
18,nan,nan,nan,0.000100
19,nan,nan,nan,0.000100
20,nan,nan,nan,0.000100
21,nan,nan,nan,0.000100
22,nan,nan,nan,0.000100
23,nan,nan,nan,0.000100
24,nan,nan,nan,0.000100
25,nan,nan,nan,0.000100
